epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.9566,1.61594,2.80751,1.83815,0.00521,1,0.78547,0.41136,1.1432,2.54991,1.63903,0.00027,0.00027,0.07327
2,28.6934,1.14544,1.4955,1.42686,1,0.71954,0.98415,0.60151,1.09894,1.9974,1.86481,0.00054994,0.00054994,0.0455499
3,34.6239,1.0761,1.11632,1.33911,0.86656,0.77326,0.92837,0.64166,1.08726,1.57316,1.53783,0.00082964,0.00082964,0.0178296
4,40.2206,1.04622,1.01263,1.30931,1,0.97236,0.98605,0.76715,0.92956,1.05303,1.45973,0.000999023,0.000999023,0.000999023
5,45.7633,1.00244,0.95773,1.28161,0.9501,0.90669,0.97186,0.76083,0.87252,0.9772,1.28489,0.000998264,0.000998264,0.000998264
6,51.8235,0.9305,0.8567,1.2075,0.97507,0.97619,0.99202,0.74445,0.82767,1.00961,1.25304,0.000997288,0.000997288,0.000997288
7,58.3039,0.97173,0.8914,1.23814,0.99825,0.97619,0.99409,0.81004,0.81781,0.80721,1.2962,0.000996097,0.000996097,0.000996097
8,64.2891,0.87173,0.8195,1.18114,0.95977,1,0.99407,0.83341,0.67596,0.72083,1.10992,0.00099469,0.00099469,0.00099469
9,70.124,0.74815,0.71379,1.11834,0.98773,1,0.995,0.84187,0.66976,0.76429,1.15011,0.000993068,0.000993068,0.000993068
10,75.8297,0.76778,0.72183,1.13098,0.99247,1,0.995,0.86482,0.6602,0.70833,1.04687,0.000991232,0.000991232,0.000991232
11,81.4606,0.73366,0.70059,1.08862,0.99795,1,0.995,0.85809,0.64518,0.57546,1.03094,0.000989183,0.000989183,0.000989183
12,86.666,0.72655,0.69436,1.11004,0.99802,1,0.995,0.85401,0.67758,0.58194,1.08872,0.000986922,0.000986922,0.000986922
13,91.989,0.67194,0.61501,1.09975,0.9984,1,0.995,0.90438,0.53907,0.53425,0.96009,0.000984449,0.000984449,0.000984449
14,97.7676,0.68145,0.61063,1.04474,0.99867,1,0.995,0.90246,0.53738,0.47938,0.97828,0.000981765,0.000981765,0.000981765
15,103.173,0.65042,0.59028,1.03525,0.99798,1,0.995,0.88588,0.62938,0.49912,1.05844,0.000978873,0.000978873,0.000978873
16,108.754,0.63093,0.58215,1.04285,0.99757,1,0.995,0.87698,0.5874,0.50096,1.05579,0.000975773,0.000975773,0.000975773
17,114.181,0.66156,0.57627,1.03966,0.99832,1,0.995,0.84737,0.73938,0.47532,1.13305,0.000972466,0.000972466,0.000972466
18,119.63,0.62948,0.54678,1.048,0.99856,1,0.995,0.84599,0.66992,0.46572,1.01723,0.000968955,0.000968955,0.000968955
19,125.871,0.61845,0.53805,1.03525,0.99816,1,0.995,0.84488,0.65987,0.44617,1.0678,0.000965239,0.000965239,0.000965239
20,131.838,0.61104,0.53638,1.03284,0.99676,1,0.995,0.87762,0.54912,0.48354,0.95927,0.000961322,0.000961322,0.000961322
21,137.472,0.59641,0.51641,0.9993,1,0.99706,0.995,0.87695,0.58662,0.44168,1.03116,0.000957205,0.000957205,0.000957205
22,143.39,0.55183,0.50224,1.00993,0.99839,1,0.995,0.89163,0.55598,0.42467,0.9957,0.000952889,0.000952889,0.000952889
23,149.289,0.58147,0.50448,1.02653,0.9983,1,0.995,0.9196,0.39779,0.36819,0.89798,0.000948377,0.000948377,0.000948377
24,155.623,0.57888,0.49285,1.01394,0.9985,1,0.995,0.8991,0.48873,0.4016,0.96738,0.000943671,0.000943671,0.000943671
25,161.289,0.59437,0.48883,1.01783,0.99844,1,0.995,0.88126,0.56367,0.39943,0.98476,0.000938772,0.000938772,0.000938772
26,166.564,0.6384,0.51536,1.05352,0.99848,1,0.995,0.86856,0.57637,0.42364,0.95745,0.000933683,0.000933683,0.000933683
27,172.239,0.54115,0.4509,0.99078,0.99821,1,0.995,0.89437,0.50467,0.3793,0.94618,0.000928405,0.000928405,0.000928405
28,178.085,0.56904,0.48272,1.00268,0.9984,1,0.995,0.89859,0.5241,0.36989,0.90566,0.000922942,0.000922942,0.000922942
29,183.538,0.56127,0.47214,1.00943,0.99726,1,0.995,0.89063,0.53383,0.41542,0.89468,0.000917296,0.000917296,0.000917296
30,190.051,0.54834,0.47648,1.00551,0.99701,1,0.995,0.89467,0.55787,0.38849,0.91558,0.000911469,0.000911469,0.000911469
31,196.015,0.55129,0.44026,0.98874,0.99863,1,0.995,0.92279,0.41566,0.33436,0.87697,0.000905463,0.000905463,0.000905463
32,202.402,0.56331,0.47244,1.0181,0.99861,1,0.995,0.91891,0.44408,0.33529,0.88318,0.000899282,0.000899282,0.000899282
33,208.549,0.54903,0.46962,0.99919,0.99757,1,0.995,0.88148,0.49497,0.36154,0.94644,0.000892928,0.000892928,0.000892928
34,214.513,0.54995,0.45551,1.00315,0.99812,1,0.995,0.90928,0.47917,0.34543,0.93701,0.000886404,0.000886404,0.000886404
35,221.116,0.54725,0.44566,1.0053,0.99802,1,0.995,0.93785,0.43386,0.33282,0.90062,0.000879713,0.000879713,0.000879713
36,227.537,0.54814,0.44053,0.99236,0.99769,1,0.995,0.91405,0.47348,0.33887,0.87059,0.000872857,0.000872857,0.000872857
37,233.389,0.54626,0.43695,0.97683,0.99766,1,0.995,0.9018,0.4987,0.34179,0.92373,0.000865839,0.000865839,0.000865839
38,239.199,0.57265,0.44625,1.00661,0.99825,1,0.995,0.87097,0.58309,0.39136,0.94113,0.000858664,0.000858664,0.000858664
39,245.207,0.63076,0.46594,1.00435,0.99839,1,0.995,0.92606,0.44696,0.354,0.87057,0.000851333,0.000851333,0.000851333
40,250.973,0.52656,0.41659,0.97721,0.99842,1,0.995,0.89593,0.4932,0.3302,0.94522,0.000843851,0.000843851,0.000843851
41,256.73,0.55358,0.41202,0.98594,0.99851,1,0.995,0.89033,0.50287,0.33476,0.90158,0.00083622,0.00083622,0.00083622
42,262.338,0.4866,0.40458,0.94365,0.99869,1,0.995,0.92072,0.42564,0.30977,0.83733,0.000828443,0.000828443,0.000828443
43,267.78,0.502,0.41173,0.97234,0.9987,1,0.995,0.91461,0.43188,0.30601,0.8663,0.000820525,0.000820525,0.000820525
44,273.049,0.51683,0.42491,0.98335,0.99867,1,0.995,0.94792,0.31839,0.27664,0.80997,0.000812468,0.000812468,0.000812468
45,278.884,0.51563,0.41384,0.96319,0.9986,1,0.995,0.91477,0.4499,0.31566,0.87687,0.000804277,0.000804277,0.000804277
46,284.18,0.50872,0.39843,0.96666,0.99839,1,0.995,0.9377,0.35662,0.29526,0.84439,0.000795954,0.000795954,0.000795954
47,289.326,0.49034,0.39713,0.95616,0.99858,1,0.995,0.93942,0.42069,0.3266,0.84974,0.000787503,0.000787503,0.000787503
48,294.525,0.47945,0.40767,0.95559,0.99859,1,0.995,0.94938,0.39081,0.30542,0.83469,0.000778929,0.000778929,0.000778929
49,300.472,0.44999,0.38508,0.94826,0.99838,1,0.995,0.95406,0.4058,0.31633,0.82688,0.000770234,0.000770234,0.000770234
50,306.304,0.48953,0.41695,0.97837,0.99555,1,0.995,0.96201,0.36996,0.30826,0.80158,0.000761423,0.000761423,0.000761423
51,312.035,0.45492,0.38989,0.9649,0.99748,1,0.995,0.93882,0.36651,0.29947,0.81151,0.0007525,0.0007525,0.0007525
52,317.188,0.46961,0.38232,0.95115,0.99855,1,0.995,0.92702,0.41003,0.29955,0.85578,0.000743468,0.000743468,0.000743468
53,323.031,0.41452,0.35172,0.93935,0.99867,1,0.995,0.9387,0.43932,0.28136,0.84212,0.000734332,0.000734332,0.000734332
54,328.591,0.41954,0.356,0.94359,0.99866,1,0.995,0.97829,0.31612,0.28787,0.7803,0.000725094,0.000725094,0.000725094
55,334.456,0.45189,0.3644,0.95661,0.99867,1,0.995,0.9523,0.33353,0.27954,0.79915,0.000715761,0.000715761,0.000715761
56,339.549,0.4544,0.37908,0.95367,0.99866,1,0.995,0.9322,0.39438,0.29115,0.81915,0.000706335,0.000706335,0.000706335
57,344.856,0.46023,0.37142,0.97121,0.99861,1,0.995,0.94122,0.37319,0.29646,0.80154,0.00069682,0.00069682,0.00069682
58,349.962,0.45776,0.3841,0.95221,0.9988,1,0.995,0.93125,0.38322,0.28792,0.80981,0.000687222,0.000687222,0.000687222
59,355.244,0.48262,0.36843,0.93764,0.9987,1,0.995,0.94599,0.37292,0.28808,0.79749,0.000677543,0.000677543,0.000677543
60,360.359,0.49214,0.37913,0.95065,0.99868,1,0.995,0.93627,0.39379,0.28592,0.81299,0.000667789,0.000667789,0.000667789
61,365.581,0.45457,0.35742,0.93658,0.99857,1,0.995,0.92477,0.42693,0.30085,0.81472,0.000657963,0.000657963,0.000657963
62,370.908,0.47129,0.35464,0.96045,0.99843,1,0.995,0.93795,0.38979,0.27723,0.79178,0.000648071,0.000648071,0.000648071
63,376.154,0.47941,0.36939,0.96446,0.99833,1,0.995,0.95711,0.34234,0.26354,0.77205,0.000638115,0.000638115,0.000638115
64,381.346,0.44182,0.35564,0.96452,0.99826,1,0.995,0.95864,0.37957,0.29529,0.7895,0.000628101,0.000628101,0.000628101
65,386.862,0.43167,0.35711,0.93763,0.99849,1,0.995,0.95087,0.39879,0.27016,0.79632,0.000618034,0.000618034,0.000618034
66,392.252,0.42501,0.34235,0.92949,0.99837,1,0.995,0.9291,0.41524,0.27454,0.81969,0.000607916,0.000607916,0.000607916
67,397.442,0.43,0.34853,0.95796,0.99866,1,0.995,0.92387,0.40068,0.25947,0.80791,0.000597754,0.000597754,0.000597754
